iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    3.088988684288182171e-02    1.796590133401627671e-03    1.500000000000000000e+01    1.020000000000000000e+02
3.000000000000000000e+00    1.871494120377430181e-02    7.862945693276567321e-04    3.000000000000000000e+01    2.030000000000000000e+02
4.000000000000000000e+00    2.852329259463658260e-03    1.578621323141075336e-05    4.500000000000000000e+01    3.040000000000000000e+02
5.000000000000000000e+00    1.094243431281832898e-03    2.595268430527788341e-06    6.000000000000000000e+01    4.050000000000000000e+02
6.000000000000000000e+00    8.701861902313902169e-04    1.718167290069885355e-06    7.500000000000000000e+01    5.060000000000000000e+02
7.000000000000000000e+00    5.069036752969082989e-04    5.739004955999824668e-07    9.000000000000000000e+01    6.070000000000000000e+02
8.000000000000000000e+00    2.377511977331148965e-04    1.204405833258561514e-07    1.050000000000000000e+02    7.080000000000000000e+02
9.000000000000000000e+00    1.150493765758321788e-04    3.111440424842400309e-08    1.200000000000000000e+02    8.090000000000000000e+02
1.000000000000000000e+01    8.687826412305593639e-05    1.826256586919461781e-08    1.350000000000000000e+02    9.100000000000000000e+02
1.100000000000000000e+01    5.344365775278657308e-05    6.750305364134777723e-09    1.500000000000000000e+02    1.011000000000000000e+03
1.200000000000000000e+01    2.853618000690974065e-05    1.896435440528427866e-09    1.650000000000000000e+02    1.112000000000000000e+03
1.300000000000000000e+01    1.622318557859484323e-05    6.406310649896359209e-10    1.800000000000000000e+02    1.213000000000000000e+03
1.400000000000000000e+01    1.095833909652419832e-05    2.953451429670790008e-10    1.950000000000000000e+02    1.314000000000000000e+03
1.500000000000000000e+01    6.812586845529101072e-06    1.125168291744098313e-10    2.100000000000000000e+02    1.415000000000000000e+03
1.600000000000000000e+01    3.932699186221231310e-06    3.726806552930945407e-11    2.250000000000000000e+02    1.516000000000000000e+03
1.700000000000000000e+01    2.362022523034870723e-06    1.364900345426289071e-11    2.400000000000000000e+02    1.617000000000000000e+03
1.800000000000000000e+01    1.512986996515321087e-06    5.624058484305526726e-12    2.550000000000000000e+02    1.718000000000000000e+03
1.900000000000000000e+01    9.377435466075911626e-07    2.145141093005238475e-12    2.700000000000000000e+02    1.819000000000000000e+03
