iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    3.109169903160454579e-02    1.822963154797553826e-03    1.700000000000000000e+01    1.020000000000000000e+02
3.000000000000000000e+00    1.870168720654111563e-02    7.896134700438211303e-04    3.400000000000000000e+01    2.030000000000000000e+02
4.000000000000000000e+00    2.440585801186583980e-03    1.150210314352809924e-05    5.100000000000000000e+01    3.040000000000000000e+02
5.000000000000000000e+00    9.023473833235602431e-04    1.806789860194350296e-06    6.800000000000000000e+01    4.050000000000000000e+02
6.000000000000000000e+00    6.066183073880115949e-04    8.407512937143002239e-07    8.500000000000000000e+01    5.060000000000000000e+02
7.000000000000000000e+00    3.309521493011198870e-04    2.498150270697509489e-07    1.020000000000000000e+02    6.070000000000000000e+02
8.000000000000000000e+00    1.368974609360278994e-04    4.025735452184924459e-08    1.190000000000000000e+02    7.080000000000000000e+02
9.000000000000000000e+00    5.930767684250324109e-05    8.345938645627323324e-09    1.360000000000000000e+02    8.090000000000000000e+02
1.000000000000000000e+01    4.200562210226911478e-05    4.309714044107878396e-09    1.530000000000000000e+02    9.100000000000000000e+02
1.100000000000000000e+01    2.389714881136083223e-05    1.369275430332911206e-09    1.700000000000000000e+02    1.011000000000000000e+03
1.200000000000000000e+01    1.148051669830678245e-05    3.100894498916353505e-10    1.870000000000000000e+02    1.112000000000000000e+03
1.300000000000000000e+01    5.921523094008617814e-06    8.597090316129665148e-11    2.040000000000000000e+02    1.213000000000000000e+03
1.400000000000000000e+01    3.700169221486073886e-06    3.391897096259883290e-11    2.210000000000000000e+02    1.314000000000000000e+03
1.500000000000000000e+01    2.113708716251135575e-06    1.093119326635095374e-11    2.380000000000000000e+02    1.415000000000000000e+03
1.600000000000000000e+01    1.107753510810737933e-06    2.978570196100624562e-12    2.550000000000000000e+02    1.516000000000000000e+03
