iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    3.049305256842679834e-02    1.746421292151084095e-03    1.200000000000000000e+01    1.020000000000000000e+02
3.000000000000000000e+00    1.844181357963237469e-02    7.825305104796052326e-04    2.400000000000000000e+01    2.030000000000000000e+02
4.000000000000000000e+00    3.555089917604310236e-03    2.841342165257830488e-05    3.600000000000000000e+01    3.040000000000000000e+02
5.000000000000000000e+00    2.002330804589515754e-03    8.995169281384807628e-06    4.800000000000000000e+01    4.050000000000000000e+02
6.000000000000000000e+00    1.311331880259767203e-03    3.886558191928882421e-06    6.000000000000000000e+01    5.060000000000000000e+02
7.000000000000000000e+00    8.208650775417473781e-04    1.571414490454203997e-06    7.200000000000000000e+01    6.070000000000000000e+02
8.000000000000000000e+00    5.234580364582282295e-04    6.411876354971139323e-07    8.400000000000000000e+01    7.080000000000000000e+02
9.000000000000000000e+00    3.455385520637017710e-04    2.828837913628813984e-07    9.600000000000000000e+01    8.090000000000000000e+02
1.000000000000000000e+01    2.271708072456187476e-04    1.231703287445018680e-07    1.080000000000000000e+02    9.100000000000000000e+02
1.100000000000000000e+01    1.547541034665686759e-04    5.737934040276450690e-08    1.200000000000000000e+02    1.011000000000000000e+03
1.200000000000000000e+01    1.037241551489297261e-04    2.596221774355213397e-08    1.320000000000000000e+02    1.112000000000000000e+03
1.300000000000000000e+01    7.180262888150766175e-05    1.243807732480008254e-08    1.440000000000000000e+02    1.213000000000000000e+03
1.400000000000000000e+01    4.883774667884374150e-05    5.786852294648536041e-09    1.560000000000000000e+02    1.314000000000000000e+03
1.500000000000000000e+01    3.406153457213832340e-05    2.810463010565117180e-09    1.680000000000000000e+02    1.415000000000000000e+03
1.600000000000000000e+01    2.341344009044460389e-05    1.333175770224908876e-09    1.800000000000000000e+02    1.516000000000000000e+03
1.700000000000000000e+01    1.638484764722154227e-05    6.517713120061415542e-10    1.920000000000000000e+02    1.617000000000000000e+03
1.800000000000000000e+01    1.134523673704671978e-05    3.132696076325279865e-10    2.040000000000000000e+02    1.718000000000000000e+03
1.900000000000000000e+01    7.951895338654508153e-06    1.536668757487026888e-10    2.160000000000000000e+02    1.819000000000000000e+03
2.000000000000000000e+01    5.533194392283251849e-06    7.450972075009723101e-11    2.280000000000000000e+02    1.920000000000000000e+03
2.100000000000000000e+01    3.881261026239476838e-06    3.661594263703585746e-11    2.400000000000000000e+02    2.021000000000000000e+03
2.200000000000000000e+01    2.709510820525267078e-06    1.785749168898682993e-11    2.520000000000000000e+02    2.122000000000000000e+03
2.300000000000000000e+01    1.901414570981906465e-06    8.785160686138232603e-12    2.640000000000000000e+02    2.223000000000000000e+03
2.400000000000000000e+01    1.330208903713377702e-06    4.300757160698398527e-12    2.760000000000000000e+02    2.324000000000000000e+03
