iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.395053936752913337e-01    1.058047403081647797e-01    3.000000000000000000e+01    2.100000000000000089e+00
3.000000000000000000e+00    1.334471401204034013e-01    2.958541641561782468e-02    6.000000000000000000e+01    3.200000000000000178e+00
4.000000000000000000e+00    7.771723189742858751e-02    9.507085224873413482e-03    9.000000000000000000e+01    4.299999999999999822e+00
5.000000000000000000e+00    4.611609077466766876e-02    3.216703715816017582e-03    1.200000000000000000e+02    5.400000000000000355e+00
6.000000000000000000e+00    2.817883399960544391e-02    1.171370052931126849e-03    1.500000000000000000e+02    6.500000000000000000e+00
7.000000000000000000e+00    1.716377285221644400e-02    4.284365687237437471e-04    1.800000000000000000e+02    7.599999999999999645e+00
8.000000000000000000e+00    1.039188433260824010e-02    1.551305655820822943e-04    2.100000000000000000e+02    8.699999999999999289e+00
9.000000000000000000e+00    6.494445242387319149e-03    6.031964582779349583e-05    2.400000000000000000e+02    9.800000000000000711e+00
1.000000000000000000e+01    3.984230935405955881e-03    2.243325459690030459e-05    2.700000000000000000e+02    1.090000000000000036e+01
1.100000000000000000e+01    2.447585614126122737e-03    8.418962878569130338e-06    3.000000000000000000e+02    1.200000000000000000e+01
1.200000000000000000e+01    1.505287666112665578e-03    3.172560094321802850e-06    3.300000000000000000e+02    1.309999999999999964e+01
1.300000000000000000e+01    9.362974892442850559e-04    1.229609349699826434e-06    3.600000000000000000e+02    1.419999999999999929e+01
1.400000000000000000e+01    5.851664244606967621e-04    4.763473505221462832e-07    3.900000000000000000e+02    1.530000000000000071e+01
1.500000000000000000e+01    3.695487078685312401e-04    1.894752087580180772e-07    4.200000000000000000e+02    1.639999999999999858e+01
1.600000000000000000e+01    2.313265446778945170e-04    7.437596646692255740e-08    4.500000000000000000e+02    1.750000000000000000e+01
1.700000000000000000e+01    1.449531979882919864e-04    2.908155232104756421e-08    4.800000000000000000e+02    1.860000000000000142e+01
1.800000000000000000e+01    9.081390464640742605e-05    1.140339186441025185e-08    5.100000000000000000e+02    1.969999999999999929e+01
1.900000000000000000e+01    5.768621903617199520e-05    4.595885560838158136e-09    5.400000000000000000e+02    2.080000000000000071e+01
2.000000000000000000e+01    3.637326670041680232e-05    1.825719443589773365e-09    5.700000000000000000e+02    2.189999999999999858e+01
2.100000000000000000e+01    2.278801812169950030e-05    7.147552175224967964e-10    6.000000000000000000e+02    2.300000000000000000e+01
2.200000000000000000e+01    1.429224244124160878e-05    2.814198899143974278e-10    6.300000000000000000e+02    2.410000000000000142e+01
2.300000000000000000e+01    9.008012008765239553e-06    1.115332959127545509e-10    6.600000000000000000e+02    2.519999999999999929e+01
2.400000000000000000e+01    5.726375047352241763e-06    4.501508936233408428e-11    6.900000000000000000e+02    2.630000000000000071e+01
2.500000000000000000e+01    3.603113217784511167e-06    1.778929291761440369e-11    7.200000000000000000e+02    2.739999999999999858e+01
2.600000000000000000e+01    2.271358001285911292e-06    7.081194324935993784e-12    7.500000000000000000e+02    2.850000000000000000e+01
