iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    3.203265433685188734e-02    1.958003731186407689e-03    5.000000000000000000e+01    1.020000000000000000e+02
3.000000000000000000e+00    1.861659857048721806e-02    7.974280681961973694e-04    1.000000000000000000e+02    2.030000000000000000e+02
4.000000000000000000e+00    1.349539493742127338e-03    3.481555878405144837e-06    1.500000000000000000e+02    3.040000000000000000e+02
5.000000000000000000e+00    7.940420391127972141e-04    1.451339242374794954e-06    2.000000000000000000e+02    4.050000000000000000e+02
6.000000000000000000e+00    6.174491254585864485e-05    7.292526382085309345e-09    2.500000000000000000e+02    5.060000000000000000e+02
7.000000000000000000e+00    3.618639415758398810e-05    3.023089618575597998e-09    3.000000000000000000e+02    6.070000000000000000e+02
8.000000000000000000e+00    2.977810926005341104e-06    1.691307242855984783e-11    3.500000000000000000e+02    7.080000000000000000e+02
9.000000000000000000e+00    1.720193407378433963e-06    6.842944368736243497e-12    4.000000000000000000e+02    8.090000000000000000e+02
1.000000000000000000e+01    1.489713278508156237e-07    4.201133465262207286e-14    4.500000000000000000e+02    9.100000000000000000e+02
