iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.459158039385730965e-01    1.127607155202495909e-01    1.000000000000000000e+01    2.100000000000000089e+00
3.000000000000000000e+00    1.364309804995751385e-01    3.101556608713514421e-02    2.000000000000000000e+01    3.200000000000000178e+00
4.000000000000000000e+00    7.760836953567852581e-02    9.640929923233385046e-03    3.000000000000000000e+01    4.299999999999999822e+00
5.000000000000000000e+00    4.632633772933848759e-02    3.236354897853843671e-03    4.000000000000000000e+01    5.400000000000000355e+00
6.000000000000000000e+00    2.770240032169733399e-02    1.125342899509595594e-03    5.000000000000000000e+01    6.500000000000000000e+00
7.000000000000000000e+00    1.715734173945464638e-02    4.270919466669674124e-04    6.000000000000000000e+01    7.599999999999999645e+00
8.000000000000000000e+00    1.062563190874968137e-02    1.633625737332823581e-04    7.000000000000000000e+01    8.699999999999999289e+00
9.000000000000000000e+00    6.477198042744890943e-03    6.013293707701168947e-05    8.000000000000000000e+01    9.800000000000000711e+00
1.000000000000000000e+01    3.973751785745487965e-03    2.260849758480964339e-05    9.000000000000000000e+01    1.090000000000000036e+01
1.100000000000000000e+01    2.484548997000809219e-03    8.813703868108886983e-06    1.000000000000000000e+02    1.200000000000000000e+01
1.200000000000000000e+01    1.549476326359806736e-03    3.480446458903536321e-06    1.100000000000000000e+02    1.309999999999999964e+01
1.300000000000000000e+01    9.520513219494791029e-04    1.298983431842033025e-06    1.200000000000000000e+02    1.419999999999999929e+01
1.400000000000000000e+01    6.045882768497615189e-04    5.292068208067161021e-07    1.300000000000000000e+02    1.530000000000000071e+01
1.500000000000000000e+01    3.756315943951516649e-04    2.203713865215378054e-07    1.400000000000000000e+02    1.639999999999999858e+01
1.600000000000000000e+01    2.421832649792705764e-04    9.122822754429068389e-08    1.500000000000000000e+02    1.750000000000000000e+01
1.700000000000000000e+01    1.414190969102904164e-04    3.423820116513649104e-08    1.600000000000000000e+02    1.860000000000000142e+01
1.800000000000000000e+01    9.607240946260567859e-05    1.533947615365677158e-08    1.700000000000000000e+02    1.969999999999999929e+01
1.900000000000000000e+01    6.227014121071714945e-05    7.036606369381945043e-09    1.800000000000000000e+02    2.080000000000000071e+01
2.000000000000000000e+01    3.733459643158817823e-05    2.348803351400877339e-09    1.900000000000000000e+02    2.189999999999999858e+01
2.100000000000000000e+01    2.678261423200490769e-05    1.520384406411544170e-09    2.000000000000000000e+02    2.300000000000000000e+01
2.200000000000000000e+01    1.991727728925428095e-05    8.441569258425298388e-10    2.100000000000000000e+02    2.410000000000000142e+01
2.300000000000000000e+01    1.292319122297044472e-05    3.384163444734970678e-10    2.200000000000000000e+02    2.519999999999999929e+01
2.400000000000000000e+01    9.412271555637086425e-06    1.647739148667296049e-10    2.300000000000000000e+02    2.630000000000000071e+01
2.500000000000000000e+01    6.864388531162752177e-06    8.395246468765488128e-11    2.400000000000000000e+02    2.739999999999999858e+01
2.600000000000000000e+01    5.108339748109019546e-06    5.635993269295701237e-11    2.500000000000000000e+02    2.850000000000000000e+01
2.700000000000000000e+01    3.635300365901675150e-06    2.857350223063164861e-11    2.600000000000000000e+02    2.960000000000000142e+01
2.800000000000000000e+01    2.814947315788071134e-06    1.777034881445539623e-11    2.700000000000000000e+02    3.069999999999999929e+01
2.900000000000000000e+01    2.402041557843583317e-06    1.368042837832665463e-11    2.800000000000000000e+02    3.180000000000000071e+01
3.000000000000000000e+01    1.534858874451960699e-06    5.014726977991103523e-12    2.900000000000000000e+02    3.289999999999999858e+01
3.100000000000000000e+01    1.173127454381128721e-06    3.407152671097930967e-12    3.000000000000000000e+02    3.400000000000000000e+01
