iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.418096720824502999e-01    1.101905760379460475e-01    1.300000000000000000e+01    2.100000000000000089e+00
3.000000000000000000e+00    1.357401170490124820e-01    3.122839469611738555e-02    2.600000000000000000e+01    3.200000000000000178e+00
4.000000000000000000e+00    8.059256427050497107e-02    1.040838957229025218e-02    3.900000000000000000e+01    4.299999999999999822e+00
5.000000000000000000e+00    4.681364978975938868e-02    3.324478325780848547e-03    5.200000000000000000e+01    5.400000000000000355e+00
6.000000000000000000e+00    2.804947072056456284e-02    1.165620413337085937e-03    6.500000000000000000e+01    6.500000000000000000e+00
7.000000000000000000e+00    1.693953609360490317e-02    4.155816835834588718e-04    7.800000000000000000e+01    7.599999999999999645e+00
8.000000000000000000e+00    1.046220972261716411e-02    1.566508877369450839e-04    9.100000000000000000e+01    8.699999999999999289e+00
9.000000000000000000e+00    6.463903502585959839e-03    5.963326783866634221e-05    1.040000000000000000e+02    9.800000000000000711e+00
1.000000000000000000e+01    4.015879412363683107e-03    2.268342993212013733e-05    1.170000000000000000e+02    1.090000000000000036e+01
1.100000000000000000e+01    2.499714202202588109e-03    8.747358820913443301e-06    1.300000000000000000e+02    1.200000000000000000e+01
1.200000000000000000e+01    1.575844488683705554e-03    3.463108751393897863e-06    1.430000000000000000e+02    1.309999999999999964e+01
1.300000000000000000e+01    9.727803488025886123e-04    1.313359877825447616e-06    1.560000000000000000e+02    1.419999999999999929e+01
1.400000000000000000e+01    6.082994652315548570e-04    5.133948805032482016e-07    1.690000000000000000e+02    1.530000000000000071e+01
1.500000000000000000e+01    3.771338338457707880e-04    1.965721352691404126e-07    1.820000000000000000e+02    1.639999999999999858e+01
1.600000000000000000e+01    2.363464204818623178e-04    7.920045776391402557e-08    1.950000000000000000e+02    1.750000000000000000e+01
1.700000000000000000e+01    1.487306053861340118e-04    3.049209402559944285e-08    2.080000000000000000e+02    1.860000000000000142e+01
1.800000000000000000e+01    9.363961283445567003e-05    1.208068478362811001e-08    2.210000000000000000e+02    1.969999999999999929e+01
1.900000000000000000e+01    5.855945621256386708e-05    4.730432710447979974e-09    2.340000000000000000e+02    2.080000000000000071e+01
2.000000000000000000e+01    3.684156426629347527e-05    1.881499463854262788e-09    2.470000000000000000e+02    2.189999999999999858e+01
2.100000000000000000e+01    2.337874474180733577e-05    7.477461503021061508e-10    2.600000000000000000e+02    2.300000000000000000e+01
2.200000000000000000e+01    1.483190043801684021e-05    3.033157072173799398e-10    2.730000000000000000e+02    2.410000000000000142e+01
2.300000000000000000e+01    9.185681571734827502e-06    1.154979623962319743e-10    2.860000000000000000e+02    2.519999999999999929e+01
2.400000000000000000e+01    5.845507882480111599e-06    4.665876890113030402e-11    2.990000000000000000e+02    2.630000000000000071e+01
2.500000000000000000e+01    3.689133033729403197e-06    1.860812391768726085e-11    3.120000000000000000e+02    2.739999999999999858e+01
2.600000000000000000e+01    2.360409400612894080e-06    7.720279216800151170e-12    3.250000000000000000e+02    2.850000000000000000e+01
