iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.294798148243779312e-01    9.627099284487486419e-02    5.000000000000000000e+01    2.100000000000000089e+00
3.000000000000000000e+00    1.285660478878047353e-01    2.768790233176747148e-02    1.000000000000000000e+02    3.200000000000000178e+00
4.000000000000000000e+00    7.424000921545574616e-02    8.783944340445749843e-03    1.500000000000000000e+02    4.299999999999999822e+00
5.000000000000000000e+00    4.328304454822477776e-02    2.867634654127672583e-03    2.000000000000000000e+02    5.400000000000000355e+00
6.000000000000000000e+00    2.559667302298757746e-02    9.760961445846931496e-04    2.500000000000000000e+02    6.500000000000000000e+00
7.000000000000000000e+00    1.573494876293056455e-02    3.620232653147289537e-04    3.000000000000000000e+02    7.599999999999999645e+00
8.000000000000000000e+00    9.646966787818223726e-03    1.343979837611599846e-04    3.500000000000000000e+02    8.699999999999999289e+00
9.000000000000000000e+00    5.920568767818742799e-03    5.004359422708796107e-05    4.000000000000000000e+02    9.800000000000000711e+00
1.000000000000000000e+01    3.654186280655031573e-03    1.894841831446645244e-05    4.500000000000000000e+02    1.090000000000000036e+01
1.100000000000000000e+01    2.271734148218814905e-03    7.308624033118056950e-06    5.000000000000000000e+02    1.200000000000000000e+01
1.200000000000000000e+01    1.399754471080422299e-03    2.759269870057695824e-06    5.500000000000000000e+02    1.309999999999999964e+01
1.300000000000000000e+01    8.671326155622295032e-04    1.051283146820127639e-06    6.000000000000000000e+02    1.419999999999999929e+01
1.400000000000000000e+01    5.420863072383933640e-04    4.106621093900374169e-07    6.500000000000000000e+02    1.530000000000000071e+01
1.500000000000000000e+01    3.407312258978245222e-04    1.616251164141550823e-07    7.000000000000000000e+02    1.639999999999999858e+01
1.600000000000000000e+01    2.130038766257998572e-04    6.304044151777174465e-08    7.500000000000000000e+02    1.750000000000000000e+01
1.700000000000000000e+01    1.354893735419003499e-04    2.545128792658424636e-08    8.000000000000000000e+02    1.860000000000000142e+01
1.800000000000000000e+01    8.523254464086100243e-05    1.005545774633726993e-08    8.500000000000000000e+02    1.969999999999999929e+01
1.900000000000000000e+01    5.364921958445947588e-05    3.980140584117204198e-09    9.000000000000000000e+02    2.080000000000000071e+01
2.000000000000000000e+01    3.389892706915143998e-05    1.583244618077861291e-09    9.500000000000000000e+02    2.189999999999999858e+01
2.100000000000000000e+01    2.162707224793821077e-05    6.431107366572490489e-10    1.000000000000000000e+03    2.300000000000000000e+01
2.200000000000000000e+01    1.344758399862147695e-05    2.482387360518914772e-10    1.050000000000000000e+03    2.410000000000000142e+01
2.300000000000000000e+01    8.499629180617661805e-06    9.898461054432717369e-11    1.100000000000000000e+03    2.519999999999999929e+01
2.400000000000000000e+01    5.390731197606496229e-06    3.978562540324058400e-11    1.150000000000000000e+03    2.630000000000000071e+01
2.500000000000000000e+01    3.399086049778168209e-06    1.580317085524389179e-11    1.200000000000000000e+03    2.739999999999999858e+01
2.600000000000000000e+01    2.142687969601228349e-06    6.261360401754718790e-12    1.250000000000000000e+03    2.850000000000000000e+01
