iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    3.132833334737509384e-02    1.854743298499594677e-03    2.000000000000000000e+01    1.020000000000000000e+02
3.000000000000000000e+00    1.855224634891073504e-02    7.976501208266312606e-04    4.000000000000000000e+01    2.030000000000000000e+02
4.000000000000000000e+00    1.602134183539629742e-03    6.256630344806129209e-06    6.000000000000000000e+01    3.040000000000000000e+02
5.000000000000000000e+00    5.770927298070991631e-04    7.670254222291260352e-07    8.000000000000000000e+01    4.050000000000000000e+02
6.000000000000000000e+00    2.683050792575706537e-04    1.718016848149109803e-07    1.000000000000000000e+02    5.060000000000000000e+02
7.000000000000000000e+00    1.288194550598792789e-04    4.131345406214231398e-08    1.200000000000000000e+02    6.070000000000000000e+02
8.000000000000000000e+00    5.263438405350239732e-05    6.934828729416574683e-09    1.400000000000000000e+02    7.080000000000000000e+02
9.000000000000000000e+00    2.526518734486197100e-05    1.591531437415016732e-09    1.600000000000000000e+02    8.090000000000000000e+02
1.000000000000000000e+01    1.151894727342882293e-05    3.341594930577671897e-10    1.800000000000000000e+02    9.100000000000000000e+02
1.100000000000000000e+01    5.649441475206428136e-06    7.997788040899421503e-11    2.000000000000000000e+02    1.011000000000000000e+03
1.200000000000000000e+01    2.635944649884416860e-06    1.748340136954690268e-11    2.200000000000000000e+02    1.112000000000000000e+03
1.300000000000000000e+01    1.297318208656398478e-06    4.206705260308973896e-12    2.400000000000000000e+02    1.213000000000000000e+03
