iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.855944266883617480e-02    1.524474669460804989e-03    5.000000000000000000e+00    1.020000000000000000e+02
3.000000000000000000e+00    1.833370015219089322e-02    7.233874247246856832e-04    1.000000000000000000e+01    2.030000000000000000e+02
4.000000000000000000e+00    6.549748341571363409e-03    8.602489193080181456e-05    1.500000000000000000e+01    3.040000000000000000e+02
5.000000000000000000e+00    4.569212133006951386e-03    3.718748625709065173e-05    2.000000000000000000e+01    4.050000000000000000e+02
6.000000000000000000e+00    4.987486331621920205e-03    4.868244459366694130e-05    2.500000000000000000e+01    5.060000000000000000e+02
7.000000000000000000e+00    4.073148976742737432e-03    3.196732765974434224e-05    3.000000000000000000e+01    6.070000000000000000e+02
8.000000000000000000e+00    2.911477229015685311e-03    1.682428580662515561e-05    3.500000000000000000e+01    7.080000000000000000e+02
9.000000000000000000e+00    2.281227627912915494e-03    9.819591117333951885e-06    4.000000000000000000e+01    8.090000000000000000e+02
1.000000000000000000e+01    2.369282120997922517e-03    1.137955131835604530e-05    4.500000000000000000e+01    9.100000000000000000e+02
1.100000000000000000e+01    2.045975657167224075e-03    8.162764617441592882e-06    5.000000000000000000e+01    1.011000000000000000e+03
1.200000000000000000e+01    1.558106470005821663e-03    4.826709027987514756e-06    5.500000000000000000e+01    1.112000000000000000e+03
1.300000000000000000e+01    1.283521992894582232e-03    3.279928932553010930e-06    6.000000000000000000e+01    1.213000000000000000e+03
1.400000000000000000e+01    1.287041734744753590e-03    3.432647846939739530e-06    6.500000000000000000e+01    1.314000000000000000e+03
1.500000000000000000e+01    1.149844809618204202e-03    2.635191406027854830e-06    7.000000000000000000e+01    1.415000000000000000e+03
1.600000000000000000e+01    9.200597457095457433e-04    1.704383892801812349e-06    7.500000000000000000e+01    1.516000000000000000e+03
1.700000000000000000e+01    7.891805225321638084e-04    1.282080035281315601e-06    8.000000000000000000e+01    1.617000000000000000e+03
1.800000000000000000e+01    7.672045101955101429e-04    1.236112276390192894e-06    8.500000000000000000e+01    1.718000000000000000e+03
1.900000000000000000e+01    6.946819169341877020e-04    9.831867346716337214e-07    9.000000000000000000e+01    1.819000000000000000e+03
2.000000000000000000e+01    5.797960519183107319e-04    6.887088188706601683e-07    9.500000000000000000e+01    1.920000000000000000e+03
2.100000000000000000e+01    5.102351080550509600e-04    5.460575568837800249e-07    1.000000000000000000e+02    2.021000000000000000e+03
2.200000000000000000e+01    4.842689769157101573e-04    4.968009155862990393e-07    1.050000000000000000e+02    2.122000000000000000e+03
2.300000000000000000e+01    4.398520243368600718e-04    4.014610577750953050e-07    1.100000000000000000e+02    2.223000000000000000e+03
2.400000000000000000e+01    3.786241679187953360e-04    2.985152179876550440e-07    1.150000000000000000e+02    2.324000000000000000e+03
2.500000000000000000e+01    3.380516562180493748e-04    2.423996401552946147e-07    1.200000000000000000e+02    2.425000000000000000e+03
2.600000000000000000e+01    3.156111573679280260e-04    2.124040267220041765e-07    1.250000000000000000e+02    2.526000000000000000e+03
2.700000000000000000e+01    2.866438351730765297e-04    1.729452238721037786e-07    1.300000000000000000e+02    2.627000000000000000e+03
2.800000000000000000e+01    2.518646635201863041e-04    1.338541182640066502e-07    1.350000000000000000e+02    2.728000000000000000e+03
2.900000000000000000e+01    2.266760276253733527e-04    1.098331628351085831e-07    1.400000000000000000e+02    2.829000000000000000e+03
3.000000000000000000e+01    2.094144821040063993e-04    9.403456486349548384e-08    1.450000000000000000e+02    2.930000000000000000e+03
3.100000000000000000e+01    1.901203675665145000e-04    7.691316212664980947e-08    1.500000000000000000e+02    3.031000000000000000e+03
3.200000000000000000e+01    1.692552220088364633e-04    6.107263093695063125e-08    1.550000000000000000e+02    3.132000000000000000e+03
3.300000000000000000e+01    1.530135989082135977e-04    5.034845793843410739e-08    1.600000000000000000e+02    3.233000000000000000e+03
