iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.343010904596194710e-01    1.012766487873299898e-01    1.200000000000000000e+01    2.100000000000000089e+00
3.000000000000000000e+00    1.312337181151841115e-01    2.863285441177931476e-02    2.400000000000000000e+01    3.200000000000000178e+00
4.000000000000000000e+00    7.625993146446331805e-02    9.011221103398478829e-03    3.600000000000000000e+01    4.299999999999999822e+00
5.000000000000000000e+00    4.510975566232883205e-02    3.045025107377908897e-03    4.800000000000000000e+01    5.400000000000000355e+00
6.000000000000000000e+00    2.702935864516038331e-02    1.071247607425478187e-03    6.000000000000000000e+01    6.500000000000000000e+00
7.000000000000000000e+00    1.651865639383051643e-02    3.917151671434796660e-04    7.200000000000000000e+01    7.599999999999999645e+00
8.000000000000000000e+00    1.004188546596378184e-02    1.446847557100496180e-04    8.400000000000000000e+01    8.699999999999999289e+00
9.000000000000000000e+00    6.177455955310106293e-03    5.440112904620022892e-05    9.600000000000000000e+01    9.800000000000000711e+00
1.000000000000000000e+01    3.783915533728347217e-03    2.065483287059454600e-05    1.080000000000000000e+02    1.090000000000000036e+01
1.100000000000000000e+01    2.340504114443167378e-03    7.699865573758945877e-06    1.200000000000000000e+02    1.200000000000000000e+01
1.200000000000000000e+01    1.462590697379028814e-03    3.016634574443197181e-06    1.320000000000000000e+02    1.309999999999999964e+01
1.300000000000000000e+01    8.880933619042310394e-04    1.114494626399065460e-06    1.440000000000000000e+02    1.419999999999999929e+01
1.400000000000000000e+01    5.514228576760941882e-04    4.273734985503663061e-07    1.560000000000000000e+02    1.530000000000000071e+01
1.500000000000000000e+01    3.442729931179037365e-04    1.665359140363696448e-07    1.680000000000000000e+02    1.639999999999999858e+01
1.600000000000000000e+01    2.117215086929942502e-04    6.314583257826084450e-08    1.800000000000000000e+02    1.750000000000000000e+01
1.700000000000000000e+01    1.345637199501641883e-04    2.537732067579990227e-08    1.920000000000000000e+02    1.860000000000000142e+01
1.800000000000000000e+01    8.564709095672529409e-05    1.041505972711708826e-08    2.040000000000000000e+02    1.969999999999999929e+01
1.900000000000000000e+01    5.292600434846050342e-05    3.951308104852798880e-09    2.160000000000000000e+02    2.080000000000000071e+01
2.000000000000000000e+01    3.335100286425820773e-05    1.558206308368502297e-09    2.280000000000000000e+02    2.189999999999999858e+01
2.100000000000000000e+01    2.124607414593767678e-05    6.294201676119372398e-10    2.400000000000000000e+02    2.300000000000000000e+01
2.200000000000000000e+01    1.345724406889950734e-05    2.527068699357947207e-10    2.520000000000000000e+02    2.410000000000000142e+01
2.300000000000000000e+01    8.690774264867482548e-06    1.072210608542598146e-10    2.640000000000000000e+02    2.519999999999999929e+01
2.400000000000000000e+01    5.635500109544039895e-06    4.559032148296229194e-11    2.760000000000000000e+02    2.630000000000000071e+01
2.500000000000000000e+01    3.586579360228428884e-06    1.844654186133102107e-11    2.880000000000000000e+02    2.739999999999999858e+01
2.600000000000000000e+01    2.333965136372313510e-06    7.791486757497831741e-12    3.000000000000000000e+02    2.850000000000000000e+01
