iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    3.032665919271177249e-02    1.725980046431198085e-03    1.100000000000000000e+01    1.020000000000000000e+02
3.000000000000000000e+00    1.870275334052187710e-02    7.734914761875310955e-04    2.200000000000000000e+01    2.030000000000000000e+02
4.000000000000000000e+00    3.973255590503635762e-03    3.085965844672951703e-05    3.300000000000000000e+01    3.040000000000000000e+02
5.000000000000000000e+00    1.866304017977785763e-03    7.089352218061818518e-06    4.400000000000000000e+01    4.050000000000000000e+02
6.000000000000000000e+00    1.779967000003237782e-03    6.935945129820196897e-06    5.500000000000000000e+01    5.060000000000000000e+02
7.000000000000000000e+00    1.195272364262168433e-03    3.023160281863355630e-06    6.600000000000000000e+01    6.070000000000000000e+02
8.000000000000000000e+00    6.904949946214621699e-04    9.828382897646914108e-07    7.700000000000000000e+01    7.080000000000000000e+02
9.000000000000000000e+00    4.045686913885563848e-04    3.670651400421341881e-07    8.800000000000000000e+01    8.090000000000000000e+02
1.000000000000000000e+01    3.502425985449535216e-04    2.852323321712996644e-07    9.900000000000000000e+01    9.100000000000000000e+02
1.100000000000000000e+01    2.510373786172321459e-04    1.416068130700298670e-07    1.100000000000000000e+02    1.011000000000000000e+03
1.200000000000000000e+01    1.604289979535037996e-04    5.732580035554471572e-08    1.210000000000000000e+02    1.112000000000000000e+03
1.300000000000000000e+01    1.078277172220534454e-04    2.730448590324206018e-08    1.320000000000000000e+02    1.213000000000000000e+03
1.400000000000000000e+01    8.562823738520506745e-05    1.746018314240752107e-08    1.430000000000000000e+02    1.314000000000000000e+03
1.500000000000000000e+01    6.261136866717645886e-05    9.148485963240103173e-09    1.540000000000000000e+02    1.415000000000000000e+03
1.600000000000000000e+01    4.277767677827752423e-05    4.258751509276724343e-09    1.650000000000000000e+02    1.516000000000000000e+03
1.700000000000000000e+01    3.036369175036699339e-05    2.196946863298770247e-09    1.760000000000000000e+02    1.617000000000000000e+03
1.800000000000000000e+01    2.305050049272084313e-05    1.273783109487996623e-09    1.870000000000000000e+02    1.718000000000000000e+03
1.900000000000000000e+01    1.689424941999003051e-05    6.774908293779182829e-10    1.980000000000000000e+02    1.819000000000000000e+03
2.000000000000000000e+01    1.197364712060385979e-05    3.398536447237610427e-10    2.090000000000000000e+02    1.920000000000000000e+03
2.100000000000000000e+01    8.664906196272006701e-06    1.797151290282386537e-10    2.200000000000000000e+02    2.021000000000000000e+03
2.200000000000000000e+01    6.445798872539766146e-06    9.971585292626485803e-11    2.310000000000000000e+02    2.122000000000000000e+03
2.300000000000000000e+01    4.722059786856764182e-06    5.326903510871356841e-11    2.420000000000000000e+02    2.223000000000000000e+03
2.400000000000000000e+01    3.406692114461173348e-06    2.769995620319954033e-11    2.530000000000000000e+02    2.324000000000000000e+03
2.500000000000000000e+01    2.483060886217179445e-06    1.477250020749295744e-11    2.640000000000000000e+02    2.425000000000000000e+03
2.600000000000000000e+01    1.830971100412375989e-06    8.040768867890181529e-12    2.750000000000000000e+02    2.526000000000000000e+03
2.700000000000000000e+01    1.340914021112223484e-06    4.302985878717105382e-12    2.860000000000000000e+02    2.627000000000000000e+03
