iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.353374484709911396e-01    1.009720529406063910e-01    1.600000000000000000e+01    2.100000000000000089e+00
3.000000000000000000e+00    1.304511659986416494e-01    2.818734509639284069e-02    3.200000000000000000e+01    3.200000000000000178e+00
4.000000000000000000e+00    7.624276772491841991e-02    9.155322611723701667e-03    4.800000000000000000e+01    4.299999999999999822e+00
5.000000000000000000e+00    4.537547693855021463e-02    3.113595629460665700e-03    6.400000000000000000e+01    5.400000000000000355e+00
6.000000000000000000e+00    2.693426538361167952e-02    1.068678606825206609e-03    8.000000000000000000e+01    6.500000000000000000e+00
7.000000000000000000e+00    1.633919267591480221e-02    3.840628281560639181e-04    9.600000000000000000e+01    7.599999999999999645e+00
8.000000000000000000e+00    1.005379514399554718e-02    1.440110118444190145e-04    1.120000000000000000e+02    8.699999999999999289e+00
9.000000000000000000e+00    6.160853150856208590e-03    5.350358859745303017e-05    1.280000000000000000e+02    9.800000000000000711e+00
1.000000000000000000e+01    3.803645048102013721e-03    2.020009689055208960e-05    1.440000000000000000e+02    1.090000000000000036e+01
1.100000000000000000e+01    2.366326849717768997e-03    7.779621927620264908e-06    1.600000000000000000e+02    1.200000000000000000e+01
1.200000000000000000e+01    1.484918604582406492e-03    3.060955020539409528e-06    1.760000000000000000e+02    1.309999999999999964e+01
1.300000000000000000e+01    9.289653585028125266e-04    1.193143786913769480e-06    1.920000000000000000e+02    1.419999999999999929e+01
1.400000000000000000e+01    5.806097906247763112e-04    4.647449462851786948e-07    2.080000000000000000e+02    1.530000000000000071e+01
1.500000000000000000e+01    3.595776558909177258e-04    1.790469679467947552e-07    2.240000000000000000e+02    1.639999999999999858e+01
1.600000000000000000e+01    2.242728702171880467e-04    6.898084869508855605e-08    2.400000000000000000e+02    1.750000000000000000e+01
1.700000000000000000e+01    1.421928259484859798e-04    2.772457919130611336e-08    2.560000000000000000e+02    1.860000000000000142e+01
1.800000000000000000e+01    8.902296381397493529e-05    1.086099566922345067e-08    2.720000000000000000e+02    1.969999999999999929e+01
1.900000000000000000e+01    5.606836300911234540e-05    4.291123415626637681e-09    2.880000000000000000e+02    2.080000000000000071e+01
2.000000000000000000e+01    3.546398321280917916e-05    1.714045849877741269e-09    3.040000000000000000e+02    2.189999999999999858e+01
2.100000000000000000e+01    2.236855527447600010e-05    6.792628830745919736e-10    3.200000000000000000e+02    2.300000000000000000e+01
2.200000000000000000e+01    1.413577470244894627e-05    2.711129605650862229e-10    3.360000000000000000e+02    2.410000000000000142e+01
2.300000000000000000e+01    8.995362704760637821e-06    1.098761326299451496e-10    3.520000000000000000e+02    2.519999999999999929e+01
2.400000000000000000e+01    5.730175869759553317e-06    4.452209693659615426e-11    3.680000000000000000e+02    2.630000000000000071e+01
2.500000000000000000e+01    3.650835415264066847e-06    1.800035251398593018e-11    3.840000000000000000e+02    2.739999999999999858e+01
2.600000000000000000e+01    2.316746718380189940e-06    7.230072688585604321e-12    4.000000000000000000e+02    2.850000000000000000e+01
