iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.355666573418970233e-01    1.048210435926005685e-01    1.500000000000000000e+01    2.100000000000000089e+00
3.000000000000000000e+00    1.302037732648389512e-01    2.863328642186995995e-02    3.000000000000000000e+01    3.200000000000000178e+00
4.000000000000000000e+00    7.482423311468387739e-02    8.996056995445676080e-03    4.500000000000000000e+01    4.299999999999999822e+00
5.000000000000000000e+00    4.478971070185525094e-02    3.075473764838116460e-03    6.000000000000000000e+01    5.400000000000000355e+00
6.000000000000000000e+00    2.648375757321413601e-02    1.045088841921923027e-03    7.500000000000000000e+01    6.500000000000000000e+00
7.000000000000000000e+00    1.608171559750196794e-02    3.787571601353579556e-04    9.000000000000000000e+01    7.599999999999999645e+00
8.000000000000000000e+00    9.864198150268885246e-03    1.404988324226452679e-04    1.050000000000000000e+02    8.699999999999999289e+00
9.000000000000000000e+00    6.065577411727905190e-03    5.251873107801979882e-05    1.200000000000000000e+02    9.800000000000000711e+00
1.000000000000000000e+01    3.745422651675735064e-03    1.990104168539055677e-05    1.350000000000000000e+02    1.090000000000000036e+01
1.100000000000000000e+01    2.315815430257156006e-03    7.578131580006933088e-06    1.500000000000000000e+02    1.200000000000000000e+01
1.200000000000000000e+01    1.432606026595032713e-03    2.879092121199518821e-06    1.650000000000000000e+02    1.309999999999999964e+01
1.300000000000000000e+01    8.752261770193948010e-04    1.070734829587177004e-06    1.800000000000000000e+02    1.419999999999999929e+01
1.400000000000000000e+01    5.475353500703996788e-04    4.191233061880021244e-07    1.950000000000000000e+02    1.530000000000000071e+01
1.500000000000000000e+01    3.423141665777381781e-04    1.630418725645944141e-07    2.100000000000000000e+02    1.639999999999999858e+01
1.600000000000000000e+01    2.147671157036767952e-04    6.420694138517275939e-08    2.250000000000000000e+02    1.750000000000000000e+01
1.700000000000000000e+01    1.344224233936150436e-04    2.504397667066518106e-08    2.400000000000000000e+02    1.860000000000000142e+01
1.800000000000000000e+01    8.379203306089324295e-05    9.717592675265698857e-09    2.550000000000000000e+02    1.969999999999999929e+01
1.900000000000000000e+01    5.271507087168187446e-05    3.836693829150983695e-09    2.700000000000000000e+02    2.080000000000000071e+01
2.000000000000000000e+01    3.297914347946273047e-05    1.497318177841037833e-09    2.850000000000000000e+02    2.189999999999999858e+01
2.100000000000000000e+01    2.069725558458722492e-05    5.880301995429305442e-10    3.000000000000000000e+02    2.300000000000000000e+01
2.200000000000000000e+01    1.305206534377969479e-05    2.335862523097058816e-10    3.150000000000000000e+02    2.410000000000000142e+01
2.300000000000000000e+01    8.182027875165402849e-06    9.181382175503917303e-11    3.300000000000000000e+02    2.519999999999999929e+01
2.400000000000000000e+01    5.161383826749896718e-06    3.634203319253679990e-11    3.450000000000000000e+02    2.630000000000000071e+01
2.500000000000000000e+01    3.226382824013641561e-06    1.426557829413810998e-11    3.600000000000000000e+02    2.739999999999999858e+01
2.600000000000000000e+01    2.056250479603474708e-06    5.756778642319512964e-12    3.750000000000000000e+02    2.850000000000000000e+01
