iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.377922223763763721e-01    1.098597822121366446e-01    3.500000000000000000e+01    2.100000000000000089e+00
3.000000000000000000e+00    1.262006563535555681e-01    2.736218872232626734e-02    7.000000000000000000e+01    3.200000000000000178e+00
4.000000000000000000e+00    7.185395539862204917e-02    8.325004986299493898e-03    1.050000000000000000e+02    4.299999999999999822e+00
5.000000000000000000e+00    4.303318009832735047e-02    2.875387264802041921e-03    1.400000000000000000e+02    5.400000000000000355e+00
6.000000000000000000e+00    2.602381559748203829e-02    1.017598591720590478e-03    1.750000000000000000e+02    6.500000000000000000e+00
7.000000000000000000e+00    1.567563560617391688e-02    3.615061735403001767e-04    2.100000000000000000e+02    7.599999999999999645e+00
8.000000000000000000e+00    9.481544272612109706e-03    1.309189882949701896e-04    2.450000000000000000e+02    8.699999999999999289e+00
9.000000000000000000e+00    5.836642914666545154e-03    4.861497498728838633e-05    2.800000000000000000e+02    9.800000000000000711e+00
1.000000000000000000e+01    3.604329709302700208e-03    1.839680451976772840e-05    3.150000000000000000e+02    1.090000000000000036e+01
1.100000000000000000e+01    2.233588589699910323e-03    7.018891670876365172e-06    3.500000000000000000e+02    1.200000000000000000e+01
1.200000000000000000e+01    1.389314148788213955e-03    2.703752854009003673e-06    3.850000000000000000e+02    1.309999999999999964e+01
1.300000000000000000e+01    8.602705582512212932e-04    1.037308735602722843e-06    4.200000000000000000e+02    1.419999999999999929e+01
1.400000000000000000e+01    5.351597892284478981e-04    3.994448441192156829e-07    4.550000000000000000e+02    1.530000000000000071e+01
1.500000000000000000e+01    3.360420061637481607e-04    1.570573971687655300e-07    4.900000000000000000e+02    1.639999999999999858e+01
1.600000000000000000e+01    2.107690593591532815e-04    6.172770832926572277e-08    5.250000000000000000e+02    1.750000000000000000e+01
1.700000000000000000e+01    1.320621189920309201e-04    2.419810920374329445e-08    5.600000000000000000e+02    1.860000000000000142e+01
1.800000000000000000e+01    8.350322128771614115e-05    9.638731048276374591e-09    5.950000000000000000e+02    1.969999999999999929e+01
1.900000000000000000e+01    5.160413166253940092e-05    3.683161567970610896e-09    6.300000000000000000e+02    2.080000000000000071e+01
2.000000000000000000e+01    3.236748386283660155e-05    1.442227165752031645e-09    6.650000000000000000e+02    2.189999999999999858e+01
2.100000000000000000e+01    2.009396753965853540e-05    5.551677523570997143e-10    7.000000000000000000e+02    2.300000000000000000e+01
2.200000000000000000e+01    1.262517558853599717e-05    2.188479629238000373e-10    7.350000000000000000e+02    2.410000000000000142e+01
2.300000000000000000e+01    7.935371116851147109e-06    8.639045932831819407e-11    7.700000000000000000e+02    2.519999999999999929e+01
2.400000000000000000e+01    4.986040542874941934e-06    3.404779086408007850e-11    8.050000000000000000e+02    2.630000000000000071e+01
2.500000000000000000e+01    3.119111516831410459e-06    1.332873667497473152e-11    8.400000000000000000e+02    2.739999999999999858e+01
2.600000000000000000e+01    1.962538701813992676e-06    5.259440216445103207e-12    8.750000000000000000e+02    2.850000000000000000e+01
