iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    3.177294599795259245e-02    1.917699367664989956e-03    3.000000000000000000e+01    1.020000000000000000e+02
3.000000000000000000e+00    1.858550958691885038e-02    7.985910497396866243e-04    6.000000000000000000e+01    2.030000000000000000e+02
4.000000000000000000e+00    1.116498205886651968e-03    2.564021383903609342e-06    9.000000000000000000e+01    3.040000000000000000e+02
5.000000000000000000e+00    6.041363129339269444e-04    8.292111052551839053e-07    1.200000000000000000e+02    4.050000000000000000e+02
6.000000000000000000e+00    5.489032772403172101e-05    6.000465890433601205e-09    1.500000000000000000e+02    5.060000000000000000e+02
7.000000000000000000e+00    3.092753541844007033e-05    2.281080522761346005e-09    1.800000000000000000e+02    6.070000000000000000e+02
8.000000000000000000e+00    2.927876509998311098e-06    1.931362460650887834e-11    2.100000000000000000e+02    7.080000000000000000e+02
9.000000000000000000e+00    1.201526470895421127e-06    3.211694100857349646e-12    2.400000000000000000e+02    8.090000000000000000e+02
