iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.311503726915746237e-01    9.359742208184139434e-02    2.000000000000000000e+01    2.100000000000000089e+00
3.000000000000000000e+00    1.352728759789729729e-01    3.012988385718693568e-02    4.000000000000000000e+01    3.200000000000000178e+00
4.000000000000000000e+00    7.858769509750931914e-02    9.677200752699675543e-03    6.000000000000000000e+01    4.299999999999999822e+00
5.000000000000000000e+00    4.634783664720806134e-02    3.251077062821367686e-03    8.000000000000000000e+01    5.400000000000000355e+00
6.000000000000000000e+00    2.824916760793387202e-02    1.177762922792875266e-03    1.000000000000000000e+02    6.500000000000000000e+00
7.000000000000000000e+00    1.719935935432871654e-02    4.274324962723525276e-04    1.200000000000000000e+02    7.599999999999999645e+00
8.000000000000000000e+00    1.055896643842650293e-02    1.594641481682857766e-04    1.400000000000000000e+02    8.699999999999999289e+00
9.000000000000000000e+00    6.520881998499554813e-03    6.028853230946048343e-05    1.600000000000000000e+02    9.800000000000000711e+00
1.000000000000000000e+01    4.052665049552559538e-03    2.318037339183060618e-05    1.800000000000000000e+02    1.090000000000000036e+01
1.100000000000000000e+01    2.539281237300502602e-03    9.047582755774756272e-06    2.000000000000000000e+02    1.200000000000000000e+01
1.200000000000000000e+01    1.581371473591096279e-03    3.506838111829599637e-06    2.200000000000000000e+02    1.309999999999999964e+01
1.300000000000000000e+01    9.866523173122010090e-04    1.356062189503050731e-06    2.400000000000000000e+02    1.419999999999999929e+01
1.400000000000000000e+01    6.205585609299573259e-04    5.380596014661573534e-07    2.600000000000000000e+02    1.530000000000000071e+01
1.500000000000000000e+01    3.900578372921760452e-04    2.112984417297468648e-07    2.800000000000000000e+02    1.639999999999999858e+01
1.600000000000000000e+01    2.433398005204680248e-04    8.210782320521448669e-08    3.000000000000000000e+02    1.750000000000000000e+01
1.700000000000000000e+01    1.542345940354516347e-04    3.291959407885626195e-08    3.200000000000000000e+02    1.860000000000000142e+01
1.800000000000000000e+01    9.498135321741650139e-05    1.244764053094655179e-08    3.400000000000000000e+02    1.969999999999999929e+01
1.900000000000000000e+01    5.963987071161903268e-05    4.901581761771319111e-09    3.600000000000000000e+02    2.080000000000000071e+01
2.000000000000000000e+01    3.768291508364145323e-05    1.954530095891245317e-09    3.800000000000000000e+02    2.189999999999999858e+01
2.100000000000000000e+01    2.377401478601171594e-05    7.757718336437396810e-10    4.000000000000000000e+02    2.300000000000000000e+01
2.200000000000000000e+01    1.504193097522611476e-05    3.105114576484774469e-10    4.200000000000000000e+02    2.410000000000000142e+01
2.300000000000000000e+01    9.359461554525616984e-06    1.198179979677921725e-10    4.400000000000000000e+02    2.519999999999999929e+01
2.400000000000000000e+01    5.907984898365655732e-06    4.788032924718347080e-11    4.600000000000000000e+02    2.630000000000000071e+01
2.500000000000000000e+01    3.699166839219235180e-06    1.868445750982796702e-11    4.800000000000000000e+02    2.739999999999999858e+01
2.600000000000000000e+01    2.316004523640391989e-06    7.308300691042210599e-12    5.000000000000000000e+02    2.850000000000000000e+01
