iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    3.188373810940191982e-02    1.934361067167066290e-03    3.500000000000000000e+01    1.020000000000000000e+02
3.000000000000000000e+00    1.862397881768439178e-02    7.966292848438843522e-04    7.000000000000000000e+01    2.030000000000000000e+02
4.000000000000000000e+00    1.370560909930273108e-03    3.532512178397641289e-06    1.050000000000000000e+02    3.040000000000000000e+02
5.000000000000000000e+00    8.021532900277159300e-04    1.490956198955559391e-06    1.400000000000000000e+02    4.050000000000000000e+02
6.000000000000000000e+00    6.944595382333292163e-05    9.329697119238398828e-09    1.750000000000000000e+02    5.060000000000000000e+02
7.000000000000000000e+00    4.082288445318033450e-05    3.964670829477558408e-09    2.100000000000000000e+02    6.070000000000000000e+02
8.000000000000000000e+00    3.578226251895347640e-06    2.447611558914023897e-11    2.450000000000000000e+02    7.080000000000000000e+02
9.000000000000000000e+00    2.058804432205764284e-06    1.024051355235373515e-11    2.800000000000000000e+02    8.090000000000000000e+02
1.000000000000000000e+01    1.965142387857895519e-07    7.577641263602921081e-14    3.150000000000000000e+02    9.100000000000000000e+02
