iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    3.099595009417826369e-02    1.810372285694666038e-03    1.600000000000000000e+01    1.020000000000000000e+02
3.000000000000000000e+00    1.852140287964386400e-02    7.938408055025633885e-04    3.200000000000000000e+01    2.030000000000000000e+02
4.000000000000000000e+00    2.348566730820132557e-03    1.311295625166741482e-05    4.800000000000000000e+01    3.040000000000000000e+02
5.000000000000000000e+00    1.043042986273652693e-03    2.521986532821376755e-06    6.400000000000000000e+01    4.050000000000000000e+02
6.000000000000000000e+00    6.034577900222133987e-04    8.565077756015137904e-07    8.000000000000000000e+01    5.060000000000000000e+02
7.000000000000000000e+00    3.286689342627784191e-04    2.623257168076518094e-07    9.600000000000000000e+01    6.070000000000000000e+02
8.000000000000000000e+00    1.716701748278939030e-04    7.197273213827391922e-08    1.120000000000000000e+02    7.080000000000000000e+02
9.000000000000000000e+00    9.746629385969884072e-05    2.332040940310382106e-08    1.280000000000000000e+02    8.090000000000000000e+02
1.000000000000000000e+01    5.360109107535028869e-05    7.114215122537053558e-09    1.440000000000000000e+02    9.100000000000000000e+02
1.100000000000000000e+01    3.120020537062081806e-05    2.406986486869037481e-09    1.600000000000000000e+02    1.011000000000000000e+03
1.200000000000000000e+01    1.756802938113724468e-05    7.677569179048665633e-10    1.760000000000000000e+02    1.112000000000000000e+03
1.300000000000000000e+01    1.032699354311209333e-05    2.642262218872824035e-10    1.920000000000000000e+02    1.213000000000000000e+03
1.400000000000000000e+01    5.914733095694645554e-06    8.699433047548677764e-11    2.080000000000000000e+02    1.314000000000000000e+03
1.500000000000000000e+01    3.487740661172057046e-06    3.012714156147211913e-11    2.240000000000000000e+02    1.415000000000000000e+03
1.600000000000000000e+01    2.019579319587293418e-06    1.011993990754170022e-11    2.400000000000000000e+02    1.516000000000000000e+03
1.700000000000000000e+01    1.191575810775483308e-06    3.511122366670600460e-12    2.560000000000000000e+02    1.617000000000000000e+03
